Revenue,Orders,Units
6929653.690575,15164,17325
4431942.78318506,20386,73734
4118425.571019,12299,13729
3694843.19662996,11355,37587
3147800.0,17869,62956
3113844.684858,13758,15540
2891757.6623529997,18783,22246
2888993.9135055,16623,57803
1309522.04145468,10136,32726
663000.0,442,442
371034.64318789,3061,9436
267607.685032,592,592
257768.72827639998,484,484
232829.20397719997,652,652
223356.325324,484,484
151706.2006334,1191,3615
140283.00474499998,650,650
133671.50882501,1753,5349
117006.75,357,357
116695.390422906,1064,2961
113122.09735260002,434,434
108991.2821119,431,431
107998.0,523,1444
106080.483077,362,362
98797.57923373,373,645
94057.15254254,628,1785
85205.4110869,421,1265
79395.5423667,483,483
77098.15904223,1444,4384
68721.77975241,964,2822
56848.42007216,436,1239
54895.529536400005,111,111
48360.729735400004,609,1711
47035.80051772,280,420
44585.09062432,327,991
44545.9701316,181,403
43856.8012688,208,208
41524.80075276,492,492
39464.78979349,341,1021
35601.44054358,307,856
34969.75003881,440,1025
33310.5,838,838
27099.3293434,64,67
26477.0498373,136,295
20597.93996418,68,206
12587.3999676,405,405
12229.56037881,207,207
10369.3903355,61,61
6104.65997884,529,529
3059.5899891599997,271,271
