Order Region,Revenue,Orders,Late_Rate (%),Avg_Delivery
Canada,186861.04357377,309,48.800834202294055,3.3315954118873825
Caribbean,1651019.332257893,2806,53.077662899735515,3.507213272421255
Central Africa,327263.01639366,556,57.960644007155636,3.560524746571258
Central America,5665712.101056057,9396,54.75459581525,3.510461875022053
Central Asia,109839.93219669,184,55.33453887884268,3.4177215189873418
East Africa,376234.897484002,613,55.93952483801296,3.5145788336933044
East of USA,1371111.987017012,2323,55.66160520607375,3.5009399855386842
Eastern Asia,1486401.338173953,3318,54.32692307692307,3.527335164835165
Eastern Europe,774266.56507498,1292,55.66326530612245,3.500765306122449
North Africa,634752.222587971,1064,54.51732673267327,3.4805074257425743
Northern Europe,2155830.648588132,3716,54.04411764705882,3.5023488562091503
Oceania,2016654.199561614,4362,54.02049664958612,3.4963539613716987
South America,2960881.407628394,4979,54.30867090726481,3.505724807499163
South Asia,1553680.920196465,3335,56.26697710516104,3.502004915276161
South of  USA,785783.94566033,1345,55.77255871446229,3.492707045735476
Southeast Asia,1932495.566839391,4356,55.52992976202956,3.4966977670615367
Southern Africa,228251.59450551998,398,53.3275713050994,3.4468452895419186
Southern Europe,2047918.816884261,3543,54.38447672569187,3.4357968402078254
US Center,1151355.773328393,1935,55.24036011550875,3.4576184813996944
West Africa,727951.194232003,1223,52.84090909090909,3.534090909090909
West Asia,1174671.783648904,2022,55.28374105508404,3.4867698452321516
West of USA,1571415.961382784,2667,53.959714750406604,3.504941824096084
Western Europe,5894380.765107667,10010,55.84861116234461,3.498432254970674
